"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.884076170E-1,-7.635590737E-4,-0.000000000E0,1.221694518E-3,1.440680379E-3
4.908220440E-1,-7.635590737E-4,-6.108472589E-4,-0.000000000E0,9.778327223E-4
4.932364710E-1,1.145338640E-3,-1.221694518E-3,-0.000000000E0,1.674615805E-3
4.956508990E-1,-1.527118147E-4,-6.108472589E-4,-6.108472589E-4,8.772625866E-4
4.980653260E-1,-1.374406274E-3,6.108472589E-4,6.108472589E-4,1.623348809E-3
5.004797530E-1,-1.527118147E-4,-0.000000000E0,-6.108472589E-4,6.296469424E-4
5.028941280E-1,-1.527118147E-4,-6.108472589E-4,-0.000000000E0,6.296469424E-4
5.053085550E-1,-1.527118147E-4,-1.221694518E-3,-0.000000000E0,1.231202012E-3
5.077229820E-1,-1.527118147E-4,-0.000000000E0,1.221694518E-3,1.231202012E-3
5.101374090E-1,-1.374406274E-3,6.108472589E-4,1.221694518E-3,1.937695661E-3
5.125518360E-1,-7.635590737E-4,-0.000000000E0,6.108472589E-4,9.778327223E-4
5.149662630E-1,2.367033157E-3,1.832541777E-3,-0.000000000E0,2.993502185E-3
5.173806900E-1,1.145338640E-3,-6.108472589E-4,-6.108472589E-4,1.434597277E-3
5.197950650E-1,5.344913807E-4,-0.000000000E0,6.108472589E-4,8.116744481E-4
5.222094920E-1,1.145338640E-3,-0.000000000E0,-6.108472589E-4,1.298050451E-3
5.246239190E-1,-7.635590737E-4,1.221694518E-3,6.108472589E-4,1.564830447E-3
5.270383460E-1,-1.374406274E-3,-0.000000000E0,-6.108472589E-4,1.504036895E-3
5.294527740E-1,-1.527118147E-4,-1.221694518E-3,-0.000000000E0,1.231202012E-3
5.318672010E-1,-7.635590737E-4,6.108472589E-4,-6.108472589E-4,1.152948918E-3
5.342816280E-1,-7.635590737E-4,6.108472589E-4,6.108472589E-4,1.152948918E-3
5.366960030E-1,-1.374406274E-3,-0.000000000E0,6.108472589E-4,1.504036895E-3
5.391104300E-1,-1.527118147E-4,-0.000000000E0,6.108472589E-4,6.296469424E-4
5.415248570E-1,1.145338640E-3,1.221694518E-3,1.832541777E-3,2.482447876E-3
5.439392840E-1,-1.527118147E-4,-1.221694518E-3,2.443389036E-3,2.736057085E-3
5.463537110E-1,-1.374406274E-3,-6.108472589E-4,1.221694518E-3,1.937695661E-3
5.487681380E-1,-1.374406274E-3,-6.108472589E-4,6.108472589E-4,1.623348809E-3
5.511825650E-1,-1.527118147E-4,-1.221694518E-3,-6.108472589E-4,1.374406333E-3
