"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.076758961E0,1.896311939E-1,-1.657029688E-1,9.883852959E0
3.086416200E0,2.039881349E-1,-1.704886109E-1,9.881460190E0
3.096073440E0,2.063809484E-1,-1.657029688E-1,9.881460190E0
3.105730680E0,2.015953064E-1,-1.609173268E-1,9.881460190E0
3.115387919E0,2.015953064E-1,-1.561316848E-1,9.869496346E0
3.125045159E0,2.159522474E-1,-1.680957973E-1,9.879067421E0
3.134702346E0,2.183450609E-1,-1.633101404E-1,9.881460190E0
3.144359586E0,1.968096644E-1,-1.585244983E-1,9.874281883E0
3.154016825E0,2.039881349E-1,-1.561316848E-1,9.871889114E0
3.163674065E0,1.824527234E-1,-1.537388563E-1,9.886245728E0
3.173331305E0,2.087737769E-1,-1.585244983E-1,9.871889114E0
3.182988544E0,2.159522474E-1,-1.561316848E-1,9.867103577E0
3.192645784E0,1.968096644E-1,-1.776670814E-1,9.869496346E0
3.202303023E0,2.039881349E-1,-1.776670814E-1,9.864710808E0
3.211960263E0,2.015953064E-1,-1.537388563E-1,9.898209572E0
3.221617502E0,2.015953064E-1,-1.585244983E-1,9.879067421E0
3.231274742E0,1.992024779E-1,-1.441675574E-1,9.883852959E0
3.240931982E0,2.063809484E-1,-1.345962733E-1,9.869496346E0
3.250589221E0,1.944168359E-1,-1.752742529E-1,9.867103577E0
3.260246461E0,2.039881349E-1,-1.513460279E-1,9.869496346E0
3.269903700E0,1.992024779E-1,-1.633101404E-1,9.867103577E0
3.279560940E0,1.944168359E-1,-1.633101404E-1,9.874281883E0
3.289218180E0,1.968096644E-1,-1.465603858E-1,9.876674652E0
3.298875419E0,1.800599098E-1,-1.728814393E-1,9.900602341E0
3.308532659E0,2.015953064E-1,-1.776670814E-1,9.879067421E0
3.318189898E0,1.896311939E-1,-1.561316848E-1,9.871889114E0
3.327847138E0,1.992024779E-1,-1.728814393E-1,9.888638496E0
3.337504377E0,1.920240223E-1,-1.824527234E-1,9.874281883E0
3.347161617E0,2.039881349E-1,-1.704886109E-1,9.869496346E0
3.356818857E0,2.255235314E-1,-1.537388563E-1,9.869496346E0
3.366476044E0,2.183450609E-1,-1.489532143E-1,9.881460190E0
3.376133336E0,1.776670814E-1,-1.609173268E-1,9.867103577E0
3.385790523E0,1.992024779E-1,-1.585244983E-1,9.871889114E0
3.395447763E0,1.896311939E-1,-1.561316848E-1,9.869496346E0
3.405105002E0,1.968096644E-1,-1.585244983E-1,9.883852959E0
3.414762242E0,1.800599098E-1,-1.537388563E-1,9.879067421E0
3.424419482E0,2.015953064E-1,-1.680957973E-1,9.879067421E0
